檔名,編碼,繁體中文色名
aks_colorppf_GTPU-0001.jpg,GTPU-0001,TPU 緞面冰霜白
aks_colorppf_GTPU-0002.jpg,GTPU-0002,TPU 法拉利紅 (Ferrari)
aks_colorppf_GTPU-0003.jpg,GTPU-0003,TPU 鋼琴黑
aks_colorppf_GTPU-0004.jpg,GTPU-0004,TPU 曼塔紫
aks_colorppf_GTPU-0005.jpg,GTPU-0005,TPU 緞面神祕黑
aks_colorppf_GTPU-0006.jpg,GTPU-0006,TPU 液態金屬槍灰
aks_colorppf_GTPU-0007.jpg,GTPU-0007,TPU 液態金屬銀
aks_colorppf_GTPU-0008.jpg,GTPU-0008,TPU 液態金屬龍血紅
aks_colorppf_GTPU-0010.jpg,GTPU-0010,TPU 金屬 GT 銀
aks_colorppf_GTPU-0012.jpg,GTPU-0012,TPU 夢幻皇家紫
aks_colorppf_GTPU-0013.jpg,GTPU-0013,TPU 暮色玫瑰
aks_colorppf_GTPU-0014.jpg,GTPU-0014,TPU 消光黑幻紫
aks_colorppf_GTPU-0015.jpg,GTPU-0015,TPU 消光隕石灰
aks_colorppf_GTPU-0017.jpg,GTPU-0017,TPU 消光AMG山灰
aks_colorppf_GTPU-0018.jpg,GTPU-0018,TPU 消光金屬墨綠
aks_colorppf_GTPU-0019.jpg,GTPU-0019,TPU 消光黑
aks_colorppf_GTPU-0021.jpg,GTPU-0021,TPU 消光卡普里灰紫
aks_colorppf_GTPU-0022.jpg,GTPU-0022,TPU 消光礦石白
aks_colorppf_GTPU-0023.jpg,GTPU-0023,TPU 消光星際黑
aks_colorppf_GTPU-0024.jpg,GTPU-0024,TPU 熔岩橘 (Porsche)
aks_colorppf_GTPU-0026.jpg,GTPU-0026,TPU 深翠綠
aks_colorppf_GTPU-0027.jpg,GTPU-0027,TPU 翠柚綠 (Porsche)
aks_colorppf_GTPU-0028.jpg,GTPU-0028,TPU 地獄綠 (Audi)
aks_colorppf_GTPU-0029.jpg,GTPU-0029,TPU 冰川藍 B
aks_colorppf_GTPU-0030.jpg,GTPU-0030,TPU 邁阿密藍
aks_colorppf_GTPU-0031.jpg,GTPU-0031,TPU 瓷器藍
aks_colorppf_GTPU-0033.jpg,GTPU-0033,TPU 胡椒白
aks_colorppf_GTPU-0034.jpg,GTPU-0034,TPU 秋藍
aks_colorppf_GTPU-0036.jpg,GTPU-0036,TPU 盧加諾藍
aks_colorppf_GTPU-0037.jpg,GTPU-0037,TPU 摩根石粉
aks_colorppf_GTPU-0040.jpg,GTPU-0040,TPU 迷霧灰紫
aks_colorppf_GTPU-0042.jpg,GTPU-0042,TPU 普羅旺斯紫
aks_colorppf_GTPU-0044.jpg,GTPU-0044,TPU 金屬黑橄欖綠
aks_colorppf_GTPU-0046.jpg,GTPU-0046,TPU 亮面碳纖維
aks_colorppf_GTPU-0048.jpg,GTPU-0048,TPU 消光碳纖維
aks_colorppf_GTPU-0049.jpg,GTPU-0049,TPU 消光液態金屬銀
aks_colorppf_GTPU-0050.jpg,GTPU-0050,TPU 消光毒液綠
aks_colorppf_GTPU-0052.jpg,GTPU-0052,TPU 緞面液態金屬星瀚銀
aks_colorppf_GTPU-0054.jpg,GTPU-0054,TPU 緞面液態金屬鎢鋼
aks_colorppf_GTPU-0057.jpg,GTPU-0057,TPU 緞面液態金屬索瑪托藍
aks_colorppf_GTPU-0059.jpg,GTPU-0059,TPU 法蘭西斯卡綠
aks_colorppf_GTPU-0061.jpg,GTPU-0061,TPU 金屬砂金石綠
aks_colorppf_GTPU-0062.jpg,GTPU-0062,TPU 拜倫灣藍
aks_colorppf_GTPU-0063.jpg,GTPU-0063,TPU 皇家靛藍
aks_colorppf_GTPU-0066.jpg,GTPU-0066,TPU 納瓦拉藍 (Audi)
aks_colorppf_GTPU-0067.jpg,GTPU-0067,TPU 冰莓粉 (Porsche)
aks_colorppf_GTPU-0069.jpg,GTPU-0069,TPU 金屬午夜紫
aks_colorppf_GTPU-0070.jpg,GTPU-0070,TPU 液態金屬威尼斯紫
aks_colorppf_GTPU-0072.jpg,GTPU-0072,TPU 灰紫羅蘭 (Bentley)
aks_colorppf_GTPU-0074.jpg,GTPU-0074,TPU 冰川藍 (Tesla)
aks_colorppf_GTPU-0076.jpg,GTPU-0076,TPU 森林綠
aks_colorppf_GTPU-0077.jpg,GTPU-0077,TPU 緋紅色
aks_colorppf_GTPU-0078.jpg,GTPU-0078,TPU 藍晶黑
aks_colorppf_GTPU-0079.jpg,GTPU-0079,TPU 金屬橡樹綠
aks_colorppf_GTPU-0082.jpg,GTPU-0082,TPU 馬德拉金金屬漆 (Porsche)
aks_colorppf_GTPU-0083.jpg,GTPU-0083,TPU 蒙特戈藍金屬漆
aks_colorppf_GTPU-0087.jpg,GTPU-0087,TPU 古德伍德綠 (BMW)
aks_colorppf_GTPU-0088.jpg,GTPU-0088,TPU 坎布里亞綠
aks_colorppf_GTPU-0089.jpg,GTPU-0089,TPU 金屬賽車綠(Aston Martin)
aks_colorppf_GTPU-0090.jpg,GTPU-0090,TPU 金屬紫水晶
aks_colorppf_GTPU-0091.jpg,GTPU-0091,TPU 消光神秘綠
aks_colorppf_GTPU-0093.jpg,GTPU-0093,TPU 消光玫瑰金
aks_colorppf_GTPU-0095.jpg,GTPU-0095,TPU 緞面賽車綠
aks_colorppf_GTPU-0096.jpg,GTPU-0096,TPU 緞面競賽藍
aks_colorppf_GTPU-0097.jpg,GTPU-0097,TPU 緞面液態金屬月牙白
aks_colorppf_GTPU-0098.jpg,GTPU-0098,TPU 緞面暮光金
aks_colorppf_GTPU-0099.jpg,GTPU-0099,TPU 緞面液態金屬貝殼粉
aks_colorppf_GTPU-0100.jpg,GTPU-0100,TPU 緞面魔幻藍
aks_colorppf_GTPU-0103.jpg,GTPU-0103,TPU 鑽石白
aks_colorppf_GTPU-0104.jpg,GTPU-0104,TPU 桃紅木
aks_colorppf_GTPU-0107.jpg,GTPU-0107,TPU 緞面金綠
aks_colorppf_GTPU-0108.jpg,GTPU-0108,TPU 極地灰
aks_colorppf_GTPU-0109.jpg,GTPU-0109,TPU 賽車綠 (Porsche)
aks_colorppf_GTPU-0110.jpg,GTPU-0110,TPU 巧克力
aks_colorppf_GTPU-0111.jpg,GTPU-0111,TPU 摩德納黃 (Ferrari)
aks_colorppf_GTPU-0112.jpg,GTPU-0112,TPU 阿拉伯灰
aks_colorppf_GTPU-0113.jpg,GTPU-0113,TPU 緞面戰艦灰 (Lamborghini)
aks_colorppf_GTPU-0114.jpg,GTPU-0114,TPU 消光軍綠色 (Lamborghini)
aks_colorppf_GTPU-0119.jpg,GTPU-0119,TPU 液態金屬星際藍
aks_colorppf_GTPU-0120.jpg,GTPU-0120,TPU 液態金屬鋁銀
aks_colorppf_GTPU-0121.jpg,GTPU-0121,TPU 磨砂暗銀
aks_colorppf_GTPU-0122.jpg,GTPU-0122,TPU 消光液態金屬銀
aks_colorppf_GTPU-0123.jpg,GTPU-0123,TPU 競速橘 (BMW)
aks_colorppf_GTPU-0126.jpg,GTPU-0126,TPU 祖母綠
aks_colorppf_GTPU-0128.jpg,GTPU-0128,TPU 中金星空粉 (Retro)
aks_colorppf_GTPU-0129.jpg,GTPU-0129,TPU 尤加利青 (MINI)
aks_colorppf_GTPU-0130.jpg,GTPU-0130,TPU 珍珠葡萄紫
aks_colorppf_GTPU-0131.jpg,GTPU-0131,TPU 火山黃
aks_colorppf_GTPU-0133.jpg,GTPU-0133,TPU 液態金屬鈦銀
aks_colorppf_GTPU-0137.jpg,GTPU-0137,TPU 幻彩光譜藍
aks_colorppf_GTPU-0138.jpg,GTPU-0138,TPU 幻影虹彩紫
aks_colorppf_GTPU-0139.jpg,GTPU-0139,TPU 魔焰金紅 (Ferrari)
aks_colorppf_GTPU-0141.jpg,GTPU-0141,TPU 消光金屬 STO 賽道金綠 (Lamborghini)
aks_colorppf_GTPU-0144.jpg,GTPU-0144,TPU 消光液態金屬暗影金 (Lamborghini)
aks_colorppf_GTPU-0145.jpg,GTPU-0145,TPU 消光暗影灰 (Lamborghini)
aks_colorppf_GTPU-0146.jpg,GTPU-0146,TPU 消光戰鬥綠 (Lamborghini)
aks_colorppf_GTPU-0147.jpg,GTPU-0147,TPU 消光競技黃
aks_colorppf_GTPU-0149.jpg,GTPU-0149,TPU 消光閃耀橘
aks_colorppf_GTPU-0151.jpg,GTPU-0151,TPU 消光幻彩灰綠
aks_colorppf_GTPU-0152.jpg,GTPU-0152,TPU 消光魔焰巴西綠
aks_colorppf_GTPU-0153.jpg,GTPU-0153,TPU 消光紫霧銀光
aks_colorppf_GTPU-0154.jpg,GTPU-0154,TPU 消光黑幻藍
aks_colorppf_GTPU-0155.jpg,GTPU-0155,TPU 消光魔焰寶石紅
aks_colorppf_GTPU-0156.jpg,GTPU-0156,TPU 聖托里尼黑 (Land Rover)
aks_colorppf_GTPU-0157.jpg,GTPU-0157,TPU 白變金
aks_colorppf_GTPU-0158.jpg,GTPU-0158,TPU 魔焰錦繡灰
aks_colorppf_GTPU-0159.jpg,GTPU-0159,TPU 流光黑魅紅
aks_colorppf_GTPU-0160.jpg,GTPU-0160,TPU 雷射閃白
aks_colorppf_GTPU-0161.jpg,GTPU-0161,TPU 雷射黑
aks_colorppf_GTPU-0163.jpg,GTPU-0163,TPU 康乃馨粉
aks_colorppf_GTPU-0164.jpg,GTPU-0164,TPU 修復法拉利紅
aks_colorppf_GTPU-0165.jpg,GTPU-0165,TPU 玫琳凱粉
aks_colorppf_GTPU-0167.jpg,GTPU-0167,TPU 星光寶石紅
aks_colorppf_GTPU-0168.jpg,GTPU-0168,TPU 草莓紅 (Porsche)
aks_colorppf_GTPU-0169.jpg,GTPU-0169,TPU 麥拉倫橘
aks_colorppf_GTPU-0171.jpg,GTPU-0171,TPU 水泥灰
aks_colorppf_GTPU-0172.jpg,GTPU-0172,TPU 信號黃 (Porsche)
aks_colorppf_GTPU-0175.jpg,GTPU-0175,TPU 亮水泥灰
aks_colorppf_GTPU-0176.jpg,GTPU-0176,TPU 高亮深灰
aks_colorppf_GTPU-0177.jpg,GTPU-0177,TPU 毒蛇綠 (Audi)
aks_colorppf_GTPU-0178.jpg,GTPU-0178,TPU 裝甲綠
aks_colorppf_GTPU-0179.jpg,GTPU-0179,TPU 戰鬥綠 (Rolls-Royce)
aks_colorppf_GTPU-0182.jpg,GTPU-0182,TPU 復古綠
aks_colorppf_GTPU-0183.jpg,GTPU-0183,TPU 蠟灰 (Retro)
aks_colorppf_GTPU-0184.jpg,GTPU-0184,TPU 薄荷綠 (Porsche)
aks_colorppf_GTPU-0185.jpg,GTPU-0185,TPU 迷幻綠 (Porsche)
aks_colorppf_GTPU-0188.jpg,GTPU-0188,TPU 岩嶼綠
aks_colorppf_GTPU-0189.jpg,GTPU-0189,TPU 邁森藍
aks_colorppf_GTPU-0190.jpg,GTPU-0190,TPU 冰川藍 C
aks_colorppf_GTPU-0191.jpg,GTPU-0191,TPU 高亮海風藍
aks_colorppf_GTPU-0192.jpg,GTPU-0192,TPU 薰衣草紫
aks_colorppf_GTPU-0194.jpg,GTPU-0194,TPU 甜菜根紫
aks_colorppf_GTPU-0196.jpg,GTPU-0196,TPU 鏡空粉
aks_colorppf_GTPU-0197.jpg,GTPU-0197,TPU 撒哈拉黃
aks_colorppf_GTPU-0199.jpg,GTPU-0199,TPU 葵花黃
aks_colorppf_GTPU-0200.jpg,GTPU-0200,TPU 古巴沙色
aks_colorppf_GTPU-0201.jpg,GTPU-0201,TPU 瑪瑙灰
aks_colorppf_GTPU-0204.jpg,GTPU-0204,TPU 緞面軍綠
aks_colorppf_GTPU-0206.jpg,GTPU-0206,TPU 緞面卡其綠
aks_colorppf_GTPU-0207.jpg,GTPU-0207,TPU 緞面沙漠黃
aks_colorppf_GTPU-0208.jpg,GTPU-0208,TPU 消光鯊魚灰
aks_colorppf_GTPU-0209.jpg,GTPU-0209,TPU 消光鋼灰
aks_colorppf_GTPU-0211.jpg,GTPU-0211,TPU 液態金屬紫
aks_colorppf_GTPU-0213.jpg,GTPU-0213,TPU 液態金屬鎢鋼
aks_colorppf_GTPU-0215.jpg,GTPU-0215,TPU 液態索瑪托藍
aks_colorppf_GTPU-0216.jpg,GTPU-0216,TPU 液態金屬鈦灰
aks_colorppf_GTPU-0217.jpg,GTPU-0217,TPU 液態金屬暗紫
aks_colorppf_GTPU-0218.jpg,GTPU-0218,TPU 液態金屬蒼嶺綠
aks_colorppf_GTPU-0219.jpg,GTPU-0219,TPU 液態金屬高級灰
aks_colorppf_GTPU-0220.jpg,GTPU-0220,TPU 液態金屬香檳金
aks_colorppf_GTPU-0221.jpg,GTPU-0221,TPU 液態金屬慕斯白
aks_colorppf_GTPU-0222.jpg,GTPU-0222,TPU 液態金屬水銀
aks_colorppf_GTPU-0224.jpg,GTPU-0224,TPU 液態金屬絕地粉
aks_colorppf_GTPU-0225.jpg,GTPU-0225,TPU 液態金屬費特勒灰
aks_colorppf_GTPU-0228.jpg,GTPU-0228,TPU 液態金屬月藍
aks_colorppf_GTPU-0229.jpg,GTPU-0229,TPU 液態金屬莫內藍
aks_colorppf_GTPU-0230.jpg,GTPU-0230,TPU 液態金屬玻璃綠
aks_colorppf_GTPU-0232.jpg,GTPU-0232,TPU 液態金屬櫻桃紅
aks_colorppf_GTPU-0233.jpg,GTPU-0233,TPU 液態金屬咖啡
aks_colorppf_GTPU-0236.jpg,GTPU-0236,TPU 緞面液態金屬湛藍
aks_colorppf_GTPU-0237.jpg,GTPU-0237,TPU 緞面液態金屬戰鬥綠
aks_colorppf_GTPU-0238.jpg,GTPU-0238,TPU 夢幻粉
aks_colorppf_GTPU-0241.jpg,GTPU-0241,TPU 金屬漆香檳金
aks_colorppf_GTPU-0243.jpg,GTPU-0243,TPU 阿奎拉金屬
aks_colorppf_GTPU-0244.jpg,GTPU-0244,TPU 金屬沙綠
aks_colorppf_GTPU-0245.jpg,GTPU-0245,TPU 彩虹祖母綠
aks_colorppf_GTPU-0246.jpg,GTPU-0246,TPU 金屬高山綠
aks_colorppf_GTPU-0247.jpg,GTPU-0247,TPU 蒂芬妮魅粉
aks_colorppf_GTPU-0249.jpg,GTPU-0249,TPU 英倫綠 (Porsche)
aks_colorppf_GTPU-0251.jpg,GTPU-0251,TPU 索諾瑪綠
aks_colorppf_GTPU-0252.jpg,GTPU-0252,TPU 哈德林綠
aks_colorppf_GTPU-0254.jpg,GTPU-0254,TPU 曼巴綠
aks_colorppf_GTPU-0255.jpg,GTPU-0255,TPU 金屬銀
aks_colorppf_GTPU-0257.jpg,GTPU-0257,TPU 皇家綠
aks_colorppf_GTPU-0258.jpg,GTPU-0258,TPU 金屬英倫綠
aks_colorppf_GTPU-0260.jpg,GTPU-0260,TPU 祖母石綠
aks_colorppf_GTPU-0261.jpg,GTPU-0261,TPU 抒情銅
aks_colorppf_GTPU-0262.jpg,GTPU-0262,TPU 黑櫻桃酒
aks_colorppf_GTPU-0263.jpg,GTPU-0263,TPU 金屬藍
aks_colorppf_GTPU-0265.jpg,GTPU-0265,TPU 金屬雪邦藍
aks_colorppf_GTPU-0266.jpg,GTPU-0266,TPU 金屬GT 紫
aks_colorppf_GTPU-0267.jpg,GTPU-0267,TPU 金屬霧藍
aks_colorppf_GTPU-0269.jpg,GTPU-0269,TPU 金屬漆冰川藍 A
aks_colorppf_GTPU-0270.jpg,GTPU-0270,TPU 金屬水晶古銅
aks_colorppf_GTPU-0271.jpg,GTPU-0271,TPU 龍膽藍
aks_colorppf_GTPU-0273.jpg,GTPU-0273,TPU 深瑪瑙
aks_colorppf_GTPU-0276.jpg,GTPU-0276,TPU 錦緞紅
aks_colorppf_GTPU-0277.jpg,GTPU-0277,TPU 珍珠白
aks_colorppf_GTPU-0278.jpg,GTPU-0278,TPU 漢玉白
aks_colorppf_GTPU-0281.jpg,GTPU-0281,TPU 金屬黑玫瑰
aks_colorppf_GTPU-0282.jpg,GTPU-0282,TPU 貝爾尼納灰
aks_colorppf_GTPU-0283.jpg,GTPU-0283,TPU 珊瑚橘
aks_colorppf_GTPU-0284.jpg,GTPU-0284,TPU 布魯克林灰
aks_colorppf_GTPU-0285.jpg,GTPU-0285,TPU 香檳金
aks_colorppf_GTPU-0289.jpg,GTPU-0289,TPU 金屬翡翠雅綠
aks_colorppf_GTPU-0290.jpg,GTPU-0290,TPU 金屬火焰銅棕
aks_colorppf_GTPU-0291.jpg,GTPU-0291,TPU 金屬寒晶淡青
aks_colorppf_GTPU-0294.jpg,GTPU-0294,TPU 消光暗紫
aks_colorppf_GTPU-0295.jpg,GTPU-0295,TPU 消光鉛墨灰
aks_colorppf_GTPU-0301.jpg,GTPU-0301,TPU 鑽石白藍
aks_colorppf_GTPU-0304.jpg,GTPU-0304,TPU 金屬木槿紫
aks_colorppf_GTPU-0306.jpg,GTPU-0306,TPU 金屬黑
aks_colorppf_GTPU-0309.jpg,GTPU-0309,TPU 金屬英倫綠 (Porsche)
aks_colorppf_GTPU-0310.jpg,GTPU-0310,TPU 鑽石極光綠
aks_colorppf_GTPU-0313.jpg,GTPU-0313,TPU 火山灰
aks_colorppf_GTPU-0314.jpg,GTPU-0314,TPU 天空藍
aks_colorppf_GTPU-0316.jpg,GTPU-0316,TPU 消光山灰
aks_colorppf_GTPU-0317.jpg,GTPU-0317,TPU 緞面液態金屬槍灰
aks_colorppf_GTPU-0318.jpg,GTPU-0318,TPU 消光超級白
aks_colorppf_GTPU-0320.jpg,GTPU-0320,TPU 消光金屬午夜紫
aks_colorppf_GTPU-0322.jpg,GTPU-0322,TPU 中金星空粉
aks_colorppf_GTPU-0328.jpg,GTPU-0328,TPU 花碳銀
aks_colorppf_GTPU-0331.jpg,GTPU-0331,TPU 水晶寶藍
aks_colorppf_GTPU-0333.jpg,GTPU-0333,TPU 緞面陶瓷白
aks_colorppf_GTPU-0334.jpg,GTPU-0334,TPU 消光金屬鈦銀
aks_colorppf_GTPU-0335.jpg,GTPU-0335,TPU 消光金屬鈦灰
aks_colorppf_GTPU-0337.jpg,GTPU-0337,TPU 白變紫
aks_colorppf_GTPU-0338.jpg,GTPU-0338,TPU 松石藍 (Rolls-Royce)
aks_colorppf_GTPU-0339.jpg,GTPU-0339,TPU 海王星藍 (Porsche)
aks_colorppf_GTPU-0341.jpg,GTPU-0341,TPU 金屬棕
aks_colorppf_GTPU-0342.jpg,GTPU-0342,TPU 水晶橘紅
aks_colorppf_GTPU-0343.jpg,GTPU-0343,TPU 信號黃 (Retro)
aks_colorppf_GTPU-0344.jpg,GTPU-0344,TPU 沙漠黃
aks_colorppf_GTPU-0345.jpg,GTPU-0345,TPU 賽車綠 (Porsche)
aks_colorppf_GTPU-0346.jpg,GTPU-0346,TPU 霞光紫
aks_colorppf_GTPU-0347.jpg,GTPU-0347,TPU 迷迭香紫
aks_colorppf_GTPU-0348.jpg,GTPU-0348,TPU 維多利亞紫
aks_colorppf_GTPU-0350.jpg,GTPU-0350,TPU 緞面突尼西亞藍
aks_colorppf_GTPU-0353.jpg,GTPU-0353,TPU 消光藍魅金
aks_colorppf_GTPU-0354.jpg,GTPU-0354,TPU 奶油黃
aks_colorppf_GTPU-0355.jpg,GTPU-0355,TPU 亮面霧紫
aks_colorppf_GTPU-0356.jpg,GTPU-0356,TPU 緞面陶瓷黑
aks_colorppf_GTPU-0364.jpg,GTPU-0364,TPU 熔岩橘 (Xiaomi)
aks_colorppf_GTPU-0369.jpg,GTPU-0369,TPU 藍魅金
aks_colorppf_GTPU-0372.jpg,GTPU-0372,TPU 托斯卡納藍
aks_colorppf_GTPU-0373.jpg,GTPU-0373,TPU 流星藍
aks_colorppf_GTPU-0377.jpg,GTPU-0377,TPU 哥特蘭綠
aks_colorppf_GTPU-0379.jpg,GTPU-0379,TPU 液態金屬灰藍
aks_colorppf_GTPU-0380.jpg,GTPU-0380,TPU 月光水晶紫
aks_colorppf_GTPU-0381.jpg,GTPU-0381,TPU 反光閃銀
aks_colorppf_GTPU-0383.jpg,GTPU-0383,TPU 消光琉璃白
aks_colorppf_GTPU-0386.jpg,GTPU-0386,TPU 幻彩螢光黃
aks_colorppf_GTPU-0388.jpg,GTPU-0388,TPU 幻彩競速橘
aks_colorppf_GTPU-0389.jpg,GTPU-0389,TPU 消光幽靈午夜紫
aks_colorppf_GTPU-0390.jpg,GTPU-0390,TPU 晨霧綠
aks_colorppf_GTPU-0391.jpg,GTPU-0391,TPU 雲初黃
aks_colorppf_GTPU-0392.jpg,GTPU-0392,TPU 金屬曙光金
aks_colorppf_GTPU-0395.jpg,GTPU-0395,TPU 超亮黑幻紫
aks_colorppf_GTPU-0396.jpg,GTPU-0396,TPU 亞歷山大銀
aks_colorppf_GTPU-0398.jpg,GTPU-0398,TPU 液態金屬黑
aks_colorppf_GTPU-0401.jpg,GTPU-0401,TPU 液態金屬瑪瑙綠
aks_colorppf_GTPU-0412.jpg,GTPU-0412,TPU 消光電鍍鎢鋼
aks_colorppf_GTPU-0413.jpg,GTPU-0413,TPU 紅寶石 (Porsche)
aks_colorppf_GTPU-0414.jpg,GTPU-0414,TPU 勃根地紅 (Porsche)
aks_colorppf_GTPU-0417.jpg,GTPU-0417,TPU 金屬深釉紅
aks_colorppf_GTPU-0421.jpg,GTPU-0421,TPU 暗夜藍
aks_colorppf_GTPU-0423.jpg,GTPU-0423,TPU 消光黑幻綠金
aks_colorppf_GTPU-0424.jpg,GTPU-0424,TPU 消光黑幻金
aks_colorppf_GTPU-0425.jpg,GTPU-0425,TPU 消光黑幻綠
aks_colorppf_GTPU-0427.jpg,GTPU-0427,TPU 暗影藍
aks_colorppf_GTPU-0429.jpg,GTPU-0429,TPU 超消光星際灰
aks_colorppf_GTPU-0440.jpg,GTPU-0440,TPU 緞面深綠
aks_colorppf_GTPU-0443.jpg,GTPU-0443,TPU 金屬松柏綠
aks_colorppf_GTPU-0445.jpg,GTPU-0445,TPU 璀璨洋紅 (Xiaomi)
aks_colorppf_GTPU-0448.jpg,GTPU-0448,TPU 馬卡龍大黃蜂
aks_colorppf_GTPU-0452.jpg,GTPU-0452,TPU 雙色閃亮灰
aks_colorppf_GTPU-0454.jpg,GTPU-0454,TPU 烈焰橘
aks_colorppf_GTPU-0455.jpg,GTPU-0455,TPU 珠光秋藍
aks_colorppf_GTPU-0459.jpg,GTPU-0459,TPU 消光深巧克力
aks_colorppf_GTPU-0464.jpg,GTPU-0464,TPU 蒂芬妮藍
aks_colorppf_GTPU-0465.jpg,GTPU-0465,TPU 冰霜藍
aks_colorppf_GTPU-0467.jpg,GTPU-0467,TPU 消光山灰 (Benz)
aks_colorppf_GTPU-0469.jpg,GTPU-0469,TPU 高亮奶油白
aks_colorppf_GTPU-0471.jpg,GTPU-0471,TPU 亮面平織碳纖維黑 (Ferrari)
aks_colorppf_GTPU-0472.jpg,GTPU-0472,TPU 亮面戰機紋碳纖維黑 (Lamborghini)
aks_colorppf_GTPU-0481.jpg,GTPU-0481,TPU 螢光綠
aks_colorppf_GTPU-0482.jpg,GTPU-0482,TPU 撒哈拉黃 (Light)
aks_colorppf_GTPU-0489.jpg,GTPU-0489,TPU 魔幻藍紫金
aks_colorppf_GTPU-0490.jpg,GTPU-0490,TPU 水晶橄欖綠
aks_colorppf_GTPU-0492.jpg,GTPU-0492,TPU 液態金屬槍灰 (Retro)
aks_colorppf_GTPU-0496.jpg,GTPU-0496,TPU 信號黃
aks_colorppf_GTPU-0497.jpg,GTPU-0497,TPU 貝殼粉
aks_colorppf_GTPU-0506.jpg,GTPU-0506,TPU 典雅灰
aks_colorppf_GTPU-0526.jpg,GTPU-0526,TPU 紫晶瀾粉
aks_colorppf_GTPU-0534.jpg,GTPU-0534,TPU 超級白鑽
aks_colorppf_GTPU-0539.jpg,GTPU-0539,TPU 緞面珍珠白
aks_colorppf_GTPU-0540.jpg,GTPU-0540,TPU 緞面極地藍金
aks_colorppf_GTPU-0541.jpg,GTPU-0541,TPU 木槿花紫
aks_colorppf_GTPU-0543.jpg,GTPU-0543,TPU 松煙霧紫
aks_colorppf_GTPU-0546.jpg,GTPU-0546,TPU 淺灰丁香
aks_colorppf_GTPU-0548.jpg,GTPU-0548,TPU 水晶軍綠
aks_colorppf_GTPU-0551.jpg,GTPU-0551,TPU 消光山灰 (Retro)
aks_colorppf_GTPU-0562.jpg,GTPU-0562,TPU 緞面琥珀幻影
